
Device Name,Model,Device Type,Service Tag,Service Level Code,Warranty Type,Warranty Description,Service Provider,Shipped Date,Start Date,End Date,Days Remaining
evesxc03n03-v34-idrac.itcs.private,PowerEdge R640,Server,38W3H13,GD,INITIAL,ProSupport Mission Critical,DELL,12/28/2019,12/28/2019,12/28/2024,1656
evesxc03n03-v34-idrac.itcs.private,PowerEdge R640,Server,38W3H13,S9,EXTENDED,4 Hour 7x24 Onsite Support,UNY,12/28/2019,12/29/2022,12/29/2024,1657
evesxc03n03-v34-idrac.itcs.private,PowerEdge R640,Server,38W3H13,S9,INITIAL,4 Hour 7x24 Onsite Support,UNY,12/28/2019,12/28/2019,12/28/2022,925
motio-idrac.itcs.private,PowerEdge R630,Server,82N0CH2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,2/10/2017,2/10/2017,2/10/2021,239
motio-idrac.itcs.private,PowerEdge R630,Server,82N0CH2,SV,INITIAL,Silver Support or ProSupport,DELL,2/10/2017,2/10/2017,2/10/2021,239
risaopstst-idrac.itcs.private,PowerEdge R730xd,Server,G4S6HH2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,3/30/2017,3/30/2017,3/30/2022,652
nubievapp07-idrac.itcs.private,PowerEdge R630,Server,4TK3S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/28/2020,6/27/2021,376
nubievapp07-idrac.itcs.private,PowerEdge R630,Server,4TK3S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/27/2019,6/26/2020,10
nubievapp07-idrac.itcs.private,PowerEdge R630,Server,4TK3S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/28/2020,6/27/2021,376
nubievapp07-idrac.itcs.private,PowerEdge R630,Server,4TK3S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/27/2019,6/26/2020,10
evract12-idrac.itcs.private,PowerEdge R630,Server,G42GGB2,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,4/29/2016,5/1/2020,4/29/2021,317
nubievapp08-idrac.itcs.private,PowerEdge R630,Server,4TK4S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/28/2020,6/27/2021,376
nubievapp08-idrac.itcs.private,PowerEdge R630,Server,4TK4S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/27/2019,6/26/2020,10
nubievapp08-idrac.itcs.private,PowerEdge R630,Server,4TK4S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/28/2020,6/27/2021,376
nubievapp08-idrac.itcs.private,PowerEdge R630,Server,4TK4S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/27/2019,6/26/2020,10
vmbkup02a-idrac.itcs.private,PowerEdge R630,Server,10TYT52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/7/2015,8/9/2020,8/7/2021,417
vmbkup02a-idrac.itcs.private,PowerEdge R630,Server,10TYT52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/7/2015,8/8/2019,8/7/2020,52
nubievapp09-idrac.itcs.private,PowerEdge R630,Server,4TK5S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/28/2020,6/27/2021,376
nubievapp09-idrac.itcs.private,PowerEdge R630,Server,4TK5S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/27/2019,6/26/2020,10
nubievapp09-idrac.itcs.private,PowerEdge R630,Server,4TK5S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/28/2020,6/27/2021,376
nubievapp09-idrac.itcs.private,PowerEdge R630,Server,4TK5S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/27/2019,6/26/2020,10
evadsdc4-idrac.itcs.private,PowerEdge R630,Server,DG12182,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,11/30/2015,12/2/2019,11/30/2020,167
evesxcloud32-idrac.itcs.private,PowerEdge R630,Server,H17JR52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/18/2015,6/19/2019,6/18/2020,2
vmbkup01a-bk.itcs.private,PowerEdge R630,Server,10V0V52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/7/2015,8/9/2020,8/7/2021,417
vmbkup01a-bk.itcs.private,PowerEdge R630,Server,10V0V52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/7/2015,8/8/2019,8/7/2020,52
alps2-idrac.itcs.private,PowerEdge R730,Server,C1HLT52,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,7/31/2015,7/31/2015,7/31/2019,0
alps2-idrac.itcs.private,PowerEdge R730,Server,C1HLT52,SV,INITIAL,Silver Support or ProSupport,DELL,7/31/2015,7/31/2015,7/31/2019,0
evsplsrces-idrac.itcs.private,PowerEdge R630,Server,8TQZ482,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,3/3/2016,3/3/2016,3/3/2020,0
evesx79-idrac.itcs.private,PowerEdge R630,Server,CQ5ZT52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/14/2015,8/15/2019,8/14/2020,59
evesx41-idrac.itcs.private,PowerEdge R620,Server,2KXKV12,KK,EXTENDED,Keep Your Hard Drive Service,DELL,6/20/2014,3/22/2018,6/21/2019,0
evesx41-idrac.itcs.private,PowerEdge R620,Server,2KXKV12,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/20/2014,6/22/2018,6/21/2019,0
evesx78-idrac.itcs.private,PowerEdge R630,Server,CQ6VT52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/14/2015,8/15/2019,8/14/2020,59
risaopsprddat-idrac.itcs.private,PowerEdge R730xd,Server,G4S5HH2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,3/31/2017,3/31/2017,3/31/2022,653
evesx80-idrac.itcs.private,PowerEdge R630,Server,CQ5XT52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/14/2015,8/15/2019,8/14/2020,59
evvsrx02-idrac.itcs.private,PowerEdge R630,Server,HHP0JB2,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/4/2016,6/6/2020,6/4/2021,353
evesxcloud31-idrac.itcs.private,PowerEdge R630,Server,H17HR52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/18/2015,6/19/2019,6/18/2020,2
evsplses01-idrac.itcs.private,PowerEdge R640,Server,3CV81Q2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/3/2018,8/3/2018,8/2/2021,412
evesxcloud36-idrac.itcs.private,PowerEdge R630,Server,HRK6GK2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,7/8/2017,7/8/2017,7/8/2021,387
evesxcloud37-idrac.itcs.private,PowerEdge R630,Server,HRK7GK2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,7/8/2017,7/8/2017,7/8/2021,387
evesxcloud39-idrac.itcs.private,PowerEdge R630,Server,84VTFK2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/21/2017,6/21/2017,6/21/2021,370
evsplidx02-idrac.itcs.private,PowerEdge R630,Server,BVQCS52,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,7/14/2015,7/14/2015,7/14/2019,0
evesxc02n02-u39-idrac.itcs.private,PowerEdge R640,Server,5Y0WQP2,GD,INITIAL,ProSupport Mission Critical,DELL,5/25/2018,5/25/2018,5/24/2023,1072
evesxc02n02-u39-idrac.itcs.private,PowerEdge R640,Server,5Y0WQP2,S9,EXTENDED,4 Hour 7x24 Onsite Support,UNY,5/25/2018,5/25/2021,5/25/2023,1073
evesxc02n02-u39-idrac.itcs.private,PowerEdge R640,Server,5Y0WQP2,S9,INITIAL,4 Hour 7x24 Onsite Support,UNY,5/25/2018,5/25/2018,5/24/2021,342
evcspdpm02-bk.itcs.private,PowerEdge R710,Server,53NJXQ1,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,7/21/2011,7/22/2017,7/24/2018,0
evract14-idrac.itcs.private,PowerEdge R630,Server,G42JGB2,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,4/29/2016,5/1/2020,4/29/2021,317
evesxc02n03-o34-idrac.itcs.private,PowerEdge R640,Server,J245HQ2,GD,INITIAL,ProSupport Mission Critical,DELL,8/26/2018,8/27/2018,8/26/2023,1166
evesxc02n03-o34-idrac.itcs.private,PowerEdge R640,Server,J245HQ2,S9,EXTENDED,4 Hour 7x24 Onsite Support,UNY,8/26/2018,8/26/2021,8/26/2023,1166
evesxc02n03-o34-idrac.itcs.private,PowerEdge R640,Server,J245HQ2,S9,INITIAL,4 Hour 7x24 Onsite Support,UNY,8/26/2018,8/26/2018,8/25/2021,435
evesxtnsc01n02-idrac.itcs.private,PowerEdge R730,Server,5XQ4V52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/17/2015,8/18/2019,8/17/2020,62
evesxtnsc01n02-idrac.itcs.private,PowerEdge R730,Server,5XQ4V52,P+,EXTENDED,ProSupport Plus,DELL,8/17/2015,8/18/2019,8/17/2020,62
evesxc02n04-o34-idrac.itcs.private,PowerEdge R640,Server,J243HQ2,GD,INITIAL,ProSupport Mission Critical,DELL,8/26/2018,8/27/2018,8/26/2023,1166
evesxc02n04-o34-idrac.itcs.private,PowerEdge R640,Server,J243HQ2,S9,EXTENDED,4 Hour 7x24 Onsite Support,UNY,8/26/2018,8/26/2021,8/26/2023,1166
evesxc02n04-o34-idrac.itcs.private,PowerEdge R640,Server,J243HQ2,S9,INITIAL,4 Hour 7x24 Onsite Support,UNY,8/26/2018,8/26/2018,8/25/2021,435
coiprod-idrac.itcs.private,PowerEdge R730xd,Server,236P182,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,10/14/2015,10/14/2015,10/14/2020,120
evesxc02n01-u39-idrac.itcs.private,PowerEdge R640,Server,5Y0XQP2,GD,INITIAL,ProSupport Mission Critical,DELL,5/25/2018,5/25/2018,5/24/2023,1072
evesxc02n01-u39-idrac.itcs.private,PowerEdge R640,Server,5Y0XQP2,S9,EXTENDED,4 Hour 7x24 Onsite Support,UNY,5/25/2018,5/25/2021,5/25/2023,1073
evesxc02n01-u39-idrac.itcs.private,PowerEdge R640,Server,5Y0XQP2,S9,INITIAL,4 Hour 7x24 Onsite Support,UNY,5/25/2018,5/25/2018,5/24/2021,342
evnbms02-idrac.itcs.private,PowerEdge R640,Server,4GRHHQ2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),Dell EMC,8/23/2018,8/23/2018,8/22/2022,797
evnbms02-idrac.itcs.private,PowerEdge R640,Server,4GRHHQ2,SV,INITIAL,Silver Support or ProSupport,DELL,8/23/2018,8/22/2018,8/21/2022,796
evesxc02n07-s34-idrac.itcs.private,PowerEdge R640,Server,J247HQ2,GD,INITIAL,ProSupport Mission Critical,DELL,8/26/2018,8/27/2018,8/26/2023,1166
evesxc02n07-s34-idrac.itcs.private,PowerEdge R640,Server,J247HQ2,S9,EXTENDED,4 Hour 7x24 Onsite Support,UNY,8/26/2018,8/26/2021,8/26/2023,1166
evesxc02n07-s34-idrac.itcs.private,PowerEdge R640,Server,J247HQ2,S9,INITIAL,4 Hour 7x24 Onsite Support,UNY,8/26/2018,8/26/2018,8/25/2021,435
bigbend-idrac.itcs.private,PowerEdge R620,Server,F2HXHX1,KK,EXTENDED,Keep Your Hard Drive Service,DELL,7/15/2013,7/18/2018,7/17/2019,0
bigbend-idrac.itcs.private,PowerEdge R620,Server,F2HXHX1,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,7/15/2013,7/18/2018,7/17/2019,0
evesxcloud38-idrac.itcs.private,PowerEdge R630,Server,84VVFK2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/21/2017,6/21/2017,6/21/2021,370
evsplidx07-idrac.itcs.private,PowerEdge R640,Server,HM0DXQ2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,7/22/2018,7/22/2018,7/21/2021,400
evsplidx07-idrac.itcs.private,PowerEdge R640,Server,HM0DXQ2,SV,INITIAL,Silver Support or ProSupport,DELL,7/22/2018,7/22/2018,7/21/2021,400
zion-idrac.itcs.private,PowerEdge R620,Server,F2JVHX1,KK,EXTENDED,Keep Your Hard Drive Service,DELL,7/15/2013,7/18/2018,7/17/2019,0
zion-idrac.itcs.private,PowerEdge R620,Server,F2JVHX1,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,7/15/2013,7/18/2018,7/17/2019,0
evnbmstr01-idrac.itcs.private,PowerEdge R640,Server,4GSCHQ2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),Dell EMC,8/23/2018,8/23/2018,8/22/2022,797
evnbmstr01-idrac.itcs.private,PowerEdge R640,Server,4GSCHQ2,SV,INITIAL,Silver Support or ProSupport,DELL,8/23/2018,8/22/2018,8/21/2022,796
evnbms01-idrac.itcs.private,PowerEdge R640,Server,4GS9HQ2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),Dell EMC,8/23/2018,8/23/2018,8/22/2022,797
evnbms01-idrac.itcs.private,PowerEdge R640,Server,4GS9HQ2,SV,INITIAL,Silver Support or ProSupport,DELL,8/23/2018,8/22/2018,8/21/2022,796
evsplidx06-idrac.itcs.private,PowerEdge R640,Server,HM0CXQ2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,7/22/2018,7/22/2018,7/21/2021,400
evsplidx06-idrac.itcs.private,PowerEdge R640,Server,HM0CXQ2,SV,INITIAL,Silver Support or ProSupport,DELL,7/22/2018,7/22/2018,7/21/2021,400
evesx15-idrac.itcs.private,PowerEdge R620,Server,9SBJDX1,S4,EXTENDED,4 Hour 5x10 Onsite Support,UNY,5/8/2013,5/9/2014,5/8/2017,0
bryce-idrac.itcs.private,PowerEdge R620,Server,F2HWHX1,KK,EXTENDED,Keep Your Hard Drive Service,DELL,7/15/2013,7/18/2018,7/17/2019,0
bryce-idrac.itcs.private,PowerEdge R620,Server,F2HWHX1,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,7/15/2013,7/18/2018,7/17/2019,0
riseacdattst-idrac.itcs.private,PowerEdge R740,Server,35GRCV2,KK,EXTENDED,Keep Your Hard Drive Service,DELL,2/6/2019,2/26/2019,2/5/2024,1329
riseacdattst-idrac.itcs.private,PowerEdge R740,Server,35GRCV2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,2/6/2019,2/6/2019,2/5/2024,1329
evcspmbx06-idrac.itcs.private,PowerEdge R720,Server,4CPKV12,KK,EXTENDED,Keep Your Hard Drive Service,DELL,6/22/2014,3/28/2018,6/22/2020,6
evcspmbx06-idrac.itcs.private,PowerEdge R720,Server,4CPKV12,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/22/2014,6/22/2018,6/22/2020,6
evesxc03n01-v34-idrac.itcs.private,PowerEdge R640,Server,38W4H13,GD,INITIAL,ProSupport Mission Critical,DELL,12/28/2019,12/28/2019,12/28/2024,1656
evesxc03n01-v34-idrac.itcs.private,PowerEdge R640,Server,38W4H13,S9,EXTENDED,4 Hour 7x24 Onsite Support,UNY,12/28/2019,12/29/2022,12/29/2024,1657
evesxc03n01-v34-idrac.itcs.private,PowerEdge R640,Server,38W4H13,S9,INITIAL,4 Hour 7x24 Onsite Support,UNY,12/28/2019,12/28/2019,12/28/2022,925
alps-idrac.itcs.private,PowerEdge R620,Server,1CT7CZ1,GD,INITIAL,ProSupport Mission Critical,DELL,12/10/2013,12/10/2013,12/10/2018,0
alps-idrac.itcs.private,PowerEdge R620,Server,1CT7CZ1,S9,EXTENDED,4 Hour 7x24 Onsite Support,UNY,12/10/2013,12/11/2014,12/10/2018,0
evesxc03n02-v34-idrac.itcs.private,PowerEdge R640,Server,38V9H13,GD,INITIAL,ProSupport Mission Critical,DELL,12/28/2019,12/28/2019,12/28/2024,1656
evesxc03n02-v34-idrac.itcs.private,PowerEdge R640,Server,38V9H13,S9,EXTENDED,4 Hour 7x24 Onsite Support,UNY,12/28/2019,12/29/2022,12/29/2024,1657
evesxc03n02-v34-idrac.itcs.private,PowerEdge R640,Server,38V9H13,S9,INITIAL,4 Hour 7x24 Onsite Support,UNY,12/28/2019,12/28/2019,12/28/2022,925
vmbkup09a-idrac.itcs.private,PowerEdge R640,Server,14J7DW2,KK,INITIAL,Keep Your Hard Drive Service,DELL,4/27/2019,4/26/2019,4/25/2023,1043
vmbkup09a-idrac.itcs.private,PowerEdge R640,Server,14J7DW2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,4/27/2019,4/27/2019,4/26/2023,1044
evvsrx04-idrac.itcs.private,PowerEdge R740xd,Server,4JMHHQ2,KK,INITIAL,Keep Your Hard Drive Service,DELL,8/20/2018,8/21/2018,8/20/2021,430
evvsrx04-idrac.itcs.private,PowerEdge R740xd,Server,4JMHHQ2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/20/2018,8/20/2018,8/19/2021,429
evvsrx04-idrac.itcs.private,PowerEdge R740xd,Server,4JMHHQ2,SV,INITIAL,Silver Support or ProSupport,DELL,8/20/2018,8/21/2018,8/20/2021,430
evesx18-idrac.itcs.private,PowerEdge R620,Server,9S8HDX1,S4,EXTENDED,4 Hour 5x10 Onsite Support,UNY,5/8/2013,5/9/2014,5/8/2017,0
riseirb7dattest-idrac.itcs.private,PowerEdge R720xd,Server,CV3PW12,KK,EXTENDED,Keep Your Hard Drive Service,DELL,8/4/2014,8/6/2018,8/4/2021,414
riseirb7dattest-idrac.itcs.private,PowerEdge R720xd,Server,CV3PW12,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/4/2014,8/6/2018,8/3/2021,413
evracr6-idrac.itcs.private,PowerEdge R620,Server,D337P22,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,10/28/2014,10/30/2019,10/28/2020,134
evcspmbx01-bkup.itcs.private,PowerEdge R720,Server,3YQTGX1,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/18/2013,6/19/2017,6/19/2019,0
