Name,Manufacturer,Model,Serial_Number,Campus,Building,Room_Number,Cooling_Device,Power_Device,Department,Last_Edit_Date/Time,Original_Purchase_Order,Service_Contract_End_Date,Service_Contract_Number,Service_Contract_Purchase_Order_Number,Service_Contract_Start_Date,Service_Contract_Term
LG87 CRAH-2,Emerson/Liebert,MMD402C2400DA,082IN167135,Evanston,Technological Institute,LG87,Mini Mate AC,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 PUMP-1,Emerson/Liebert,JPM2531J,Z0804140661,Evanston,2020 RIDGE AV,Roof,Pump,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 PUMP-2,Emerson/Liebert,JPM2531J,Z0804140646,Evanston,2020 RIDGE AV,Roof,Pump,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 PUMP-3,Emerson/Liebert,JPM2531J,Z0804151536,Evanston,2020 RIDGE AV,Roof,Pump,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 DUAL PUMP PACKAGE,Emerson/Liebert,D75YNT,,Evanston,Leverone Hall,Roof,Pump Package,,NUIT-CI-SO,7/17/15 14:46,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 PUMP CONTROLLER,Emerson/Liebert,RP020GY06S0757,,Evanston,Leverone Hall,Roof,Pump Package,,NUIT-CI-SO,3/22/17 12:00,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 PUMP PACKAGE,Emerson/Liebert,RP030DA06S1270,1068029A,Evanston,2020 RIDGE AV,Roof,Pump Package,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDH-01,Emerson/Liebert,XDH32DK,0/NO8C6D0063,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDH-10,Emerson/Liebert,XDH32DK,0/NO8C6D0062,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDH-02,Emerson/Liebert,XDH32DK,0/NO8E6D0077,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDH-03,Emerson/Liebert,XDH32DK,0/NO8E6D0047,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDH-04,Emerson/Liebert,XDH32DK,0/NO8D6D0500,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDH-05,Emerson/Liebert,XDH32DK,0/NO8D6D0436,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDH-06,Emerson/Liebert,XDH32DK,0/NO8E6D0106,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDH-07,Emerson/Liebert,XDH32DK,0/NO8E6D0136,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDH-08,Emerson/Liebert,XDH32DK,0/NO8E6D0076,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDH-09,Emerson/Liebert,XDH32DK,0/NO8C6D0061,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 AC-2-4,Emerson/Liebert,CW114DC1A20964S,N11F150022,Chicago,Abbott Hall,241,DS 30-ton CW Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 AC-2-5,Emerson/Liebert,CW114DC1A20964S,N11F150023,Chicago,Abbott Hall,241,DS 30-ton CW Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-02,Emerson/Liebert,DS105WUAOE1030A,C08G8G0014,Evanston,2020 RIDGE AV,172,DS 30-ton CW Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-03,Emerson/Liebert,DS105WUAOE1030A,C08G8G0011,Evanston,2020 RIDGE AV,172,DS 30-ton CW Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-04,Emerson/Liebert,DS105WUAOE1030A,C08G8G0013,Evanston,2020 RIDGE AV,172,DS 30-ton CW Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-06,Emerson/Liebert,DS105WUAOE1030A,C08G8G0016,Evanston,2020 RIDGE AV,172,DS 30-ton CW Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-07,Emerson/Liebert,DS105WUAOE1030A,C08G8G0015,Evanston,2020 RIDGE AV,172,DS 30-ton CW Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-08,Emerson/Liebert,DS105WUAOE1030A,C08G8G0012,Evanston,2020 RIDGE AV,172,DS 30-ton CW Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDP-1,Emerson/Liebert,XDP160RC,1/0816C10605,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 XDP-2,Emerson/Liebert,XDP160RC,1/0816C10646,Evanston,Technological Institute,LG87,XDH/Extreme Density In-Row,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 Stulz AC-1,Stultz,OHS-120-DAHU,3183028,Chicago,Abbott Hall,2nd Floor,Air Package,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 Stulz AC-2,Stultz,OHS-120-DAHV,3183030,Chicago,Abbott Hall,2nd Floor,Air Package,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 AC B-1,Emerson/Liebert,BF102C-AA005133,765133-003,Chicago,Abbott Hall,Basement,Chilled Water Challenger,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 AC B-2,Emerson/Liebert,BF102C-AA005133,765133-001,Chicago,Abbott Hall,Basement,Chilled Water Challenger,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 AC B-3,Emerson/Liebert,BF102C-AA005133,765133-002,Chicago,Abbott Hall,Basement,Chilled Water Challenger,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 AC 2-1,Emerson/Liebert,VH740C-AAEI,765133-004,Chicago,Abbott Hall,2nd Floor,Chilled Water Deluxe,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 AC 2-2,Emerson/Liebert,VH740C-AAEI,765133-006,Chicago,Abbott Hall,2nd Floor,Chilled Water Deluxe,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 AC 2-3,Emerson/Liebert,VH740C-AAEI,79395-001,Chicago,Abbott Hall,2nd Floor,Chilled Water Deluxe,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 CHILLER - 1,Carrier,30RAN055E--611CX,3805Q04602,Chicago,Abbott Hall,Roof,Chiller,,NUIT-CI-SO,4/26/17 17:02,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 CHILLER - 2,Carrier,30RAN055E--611CX,3605Q04590,Chicago,Abbott Hall,Roof,Chiller,,NUIT-CI-SO,4/26/17 17:02,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 CHILLER - 3,Carrier,30RAN055055E-GHCX,3605Q04586,Chicago,Abbott Hall,Roof,Chiller,,NUIT-CI-SO,8/4/16 9:50,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 Fan Wall,Fantech,FADE 18-4,872364,Chicago,Abbott Hall,243,Exhaust Fan,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 Frequency Drive 1,Danfoss,131F1798,000424H201,Chicago,Abbott Hall,Mezzanine,Frequency Drives,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 Frequency Drive 2,Danfoss,131F1798,000224H201,Chicago,Abbott Hall,Mezzanine,Frequency Drives,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 Frequency Drive 3,Danfoss,131F1798,000324H201,Chicago,Abbott Hall,Mezzanine,Frequency Drives,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 CWP-01,B&G,,C130151-01F11,Chicago,Abbott Hall,Mezzanine,Water Pump,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 CWP-02,B&G,,C130151-02F11,Chicago,Abbott Hall,Mezzanine,Water Pump,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 CWP-03,B&G,,C130151-03F11,Chicago,Abbott Hall,Mezzanine,Water Pump,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 AIR CONDITIONER-4,Emerson/Liebert,BE061G-CA004068,874068-005,Evanston,Leverone Hall,UPS Room,Challenger A/C,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 AIR CONDITIONER-5,Emerson/Liebert,BE061G-CA004068,874068-004,Evanston,Leverone Hall,UPS Room,Challenger A/C,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 AIR CONDITIONER-6,Emerson/Liebert,BU046WGAA00148,891488-001,Evanston,Leverone Hall,Lab,Challenger A/C,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 AIR CONDITIONER-1,Emerson/Liebert,VE192G-CA014068,874068-003,Evanston,Leverone Hall,Switch Room,Deluxe A/C,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 AIR CONDITIONER-2,Emerson/Liebert,VE116G-CA014068,874068-001,Evanston,Leverone Hall,Switch Room,Deluxe A/C,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 AIR CONDITIONER-3,Emerson/Liebert,VE116G-CA014068,874068-002,Evanston,Leverone Hall,Switch Room,Deluxe A/C,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 EXHAUST FAN,Cook,120SQN,701,Evanston,Technological Institute,LG87,Exhaust Fan,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 HUMIDIFIER,Stultz,BNU-6000,,Evanston,Technological Institute,LG87,Humidifier,,NUIT-CI-SO,7/17/15 14:44,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-11,Emerson/Liebert,DS105AUAOE1029A,C08G8E0087,Evanston,2020 RIDGE AV,172,Air Cooled 30-ton CRAC,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
C-710 CHILLER - 3,Carrier,30RAP0556J-0CF10,2516Q56957,Chicago,Abbott Hall,Roof,Chiller,,NUIT-CI-SO,8/4/16 9:48,PUR0991033,3/31/18,PRSCONT2012-022,PUR0576211,4/1/13,5 Year
C710 AC-2-6,Emerson/Liebert,CW084DC1A2S724,N17A150017,Chicago,Abbott Hall,245,DS 30-ton CW Unit,,NUIT-CI-SO,2/14/17 11:32,PUR1080471,,,,,
VFD-1,,7.5hP,213F08284,Evanston,Technological Institute,LG87 Moat,Exhaust Fan,,NUIT-CI-SO,4/14/17 15:28,,,,,,
CHWP-2,,09704268-100,N/A,Evanston,Technological Institute,LG87 Moat,Chilled Water Deluxe,,NUIT-CI-SO,4/14/17 15:40,,,,,,
CHWP-1,,09704268-100,N/A,Evanston,Technological Institute,LG87 Moat,Chilled Water Deluxe,,NUIT-CI-SO,4/14/17 15:32,,,,,,
VFD-2,,7.5hP,211250xxxx,Evanston,Technological Institute,LG87 Moat,Exhaust Fan,,NUIT-CI-SO,4/14/17 15:30,,,,,,
C-710 CHILLER - 4,Carrier,30RBB08064-LG83L,2511Q76025,Chicago,Abbott Hall,Roof,Chiller,,NUIT-CI-SO,4/26/17 16:58,,,,,,
C-710 AC B-4,Emerson/Liebert,PW0291C1A2S933,Y17D6S0008,Chicago,Abbott Hall,Basement,Chilled Water Challenger,,NUIT-CI-SO,5/19/17 17:02,PUR118049,,,,,
E-2020 AC-05,,DA125DP1AT802S,C16FCE0017,Evanston,2020 RIDGE AV,172,DSE 44-ton CRAC Unit,,NUIT-CI-SO,8/19/16 16:47,PUR1018535,,,,,
E-2020 AC-09,,DA125DP1AT802S,C16FCE0018,Evanston,2020 RIDGE AV,172,DSE 44-ton CRAC Unit,,NUIT-CI-SO,8/19/16 16:47,PUR1018535,,,,,
C-Lurie Sageon Sentry 450A DC Plant,C&D/Powercom,C&D AT-27 48V 1 String,CPS0508805,Chicago,Robert H Lurie Medical Research Center,B105,,DC Rectifier Plant and Batteries,NUIT-CI-SO,7/10/15 9:55,,2/9/16,NU-1502-06 Rev 1,PUR0819814,2/10/15,1 Year
C-750 Sageon Sentry 450A DC Plant,C&D/Powercom,C&D AT-27 48V 1 String,APS0614200,Chicago,750 N LAKE SHORE DR,,,DC Rectifier Plant and Batteries,NUIT-CI-SO,7/10/15 9:55,,2/9/16,NU-1502-05 Rev 1,PUR0819774,2/10/15,1 Year
C-710 VORTEX (7) 200A  DC Plant A,Emerson/Lorain,LPS48E1 582140000,2619350,Chicago,Abbott Hall,112A,,DC Rectifier Plant and Batteries,NUIT-CI-SO,7/10/15 9:55,,12/1/15,NU-1408-02 Rev 3,PUR0802587,12/2/14,1 Year
C-710 VORTEX (7) 200A  DC Plant B,Emerson/Lorain,LPS48E1 582140000,2619351,Chicago,Abbott Hall,112A,,DC Rectifier Plant and Batteries,NUIT-CI-SO,7/10/15 9:55,,12/1/15,NU-1408-02 Rev 3,PUR0802587,12/2/14,1 Year
C-710 CUP 150kW Generator,Caterpillar,SR4,6JA00712,Chicago,Abbott Hall,Parking Lot,,Generator,NUIT-CI-SO,11/4/13 10:19,,,,,,
C-710 NUIT 750kW Generator,Caterpillar,SR4,6EJ00536,Chicago,Abbott Hall,Parking Lot,,Generator,NUIT-CI-SO,10/26/16 15:47,,,,,,
E-2001 ATS-1,ASCO,H7ACTBA30800C5XC,347910-001 FP,Evanston,Leverone Hall,G364A,,Auto Transfer Switch,NUIT-CI-SO,11/4/13 10:19,,,,,,
E-2001 ATS-2,ASCO,H7ACTBA30800C5XC,347910-002 FP,Evanston,Leverone Hall,G364A,,Auto Transfer Switch,NUIT-CI-SO,11/4/13 10:19,,,,,,
E-2001 ATS-KGSM,ASCO,E7ACTBA30400C5XC,347911,Evanston,Leverone Hall,G182,,Auto Transfer Switch,NUIT-CI-SO,3/26/15 11:18,,,,,,
E-2001 ATS-RADIO TOWER,ASCO,D00300030070C1XC,360089-005 RE,Evanston,Leverone Hall,G364A,,Auto Transfer Switch,NUIT-CI-SO,11/4/13 10:19,,,,,,
E-2145 Sageon Sentry 450A DC Plant B,C&D/Powercom,C&D AT-27 48V 1 String,EPS0509914,Evanston,Technological Institute,LB15,,DC Rectifier Plant and Batteries,NUIT-CI-SO,7/12/17 15:02,,2/9/16,NU-1502-02 Rev 1,PUR0819652,2/10/15,1 Year
E-1855 Sageon Sentry 450A DC Plant,C&D/Powercom,C&D AT-27 48V 1 String,APS0614199,Evanston,Kresge Underground,,,DC Rectifier Plant and Batteries,NUIT-CI-SO,7/10/15 9:55,,2/9/16,NU-1502-03 Rev 1,PUR0819755,2/10/15,1 Year
E-2145 Sageon Sentry 450A DC Plant A,C&D/Powercom,C&D AT-27 48V 1 String,APS0614201,Evanston,Technological Institute,LB15,,DC Rectifier Plant and Batteries,NUIT-CI-SO,7/12/17 15:05,,2/9/16,NU-1502-04 Rev 1,PUR0819835,2/10/15,1 Year
E-2001 VORTEX (5) 200A DC PLANT A,Emerson/Lorain,LPS48E1 582140000,3819412,Evanston,Leverone Hall,G364A,,DC Rectifier Plant and Batteries,NUIT-CI-SO,7/10/15 9:55,,12/1/15,NU-1408-01 Rev 3,PUR0796829,12/2/14,1 Year
E-2001 VORTEX (5) 200A DC PLANT B,Emerson/Lorain,LPS48E1 582140000,3819413,Evanston,Leverone Hall,G364A,,DC Rectifier Plant and Batteries,NUIT-CI-SO,7/10/15 9:55,,12/1/15,NU-1408-01 Rev 3,PUR0796829,12/2/14,1 Year
E-2001 Generator,Generac,6798020100,2089404,Evanston,Leverone Hall,Loading Dock,,Generator,NUIT-CI-SO,11/4/13 10:19,,,,,,
E-2020 PDR-E12,Eaton/Powerware,253045-001,EC504RXX11,Evanston,2020 RIDGE AV,172,,PDR,NUIT-CI-SO,7/10/15 9:55,,10/31/15,127363,PUR0794280,4/9/15,6 Months 22 Days
E-2020 PDR-N7,Eaton/Powerware,253045-001,EC151RXX26,Evanston,2020 RIDGE AV,172,,PDR,NUIT-CI-SO,7/10/15 9:55,,10/31/15,127363,PUR0794280,11/8/14,11 Months 23 Days
E-2020 PDR-O7,Eaton/Powerware,253045-001,EC504RXX07,Evanston,2020 RIDGE AV,172,,PDR,NUIT-CI-SO,7/10/15 9:55,,10/31/15,127363,PUR0794280,4/9/15,6 Months 22 Days
E-2020 PDR-Q58,Eaton/Powerware,253045-001,EC151RXX24,Evanston,2020 RIDGE AV,172,,PDR,NUIT-CI-SO,7/10/15 9:55,,10/31/15,127363,PUR0794280,11/8/14,11 Months 23 Days
E-2020 PDR-Q7,Eaton/Powerware,253045-001,EC504RXX06,Evanston,2020 RIDGE AV,172,,PDR,NUIT-CI-SO,7/10/15 13:40,,10/31/15,127363,PUR0794280,4/9/15,6 Months 22 Days
E-2020 PDR-R7,Eaton/Powerware,253045-001,EC504RXX09,Evanston,2020 RIDGE AV,172,,PDR,NUIT-CI-SO,7/10/15 9:55,,10/31/15,127363,PUR0794280,4/9/15,6 Months 22 Days
E-2020 PDR-W34,Eaton/Powerware,253045-001,EC504RXX08,Evanston,2020 RIDGE AV,172,,PDR,NUIT-CI-SO,7/10/15 9:55,,10/31/15,127363,PUR0794280,4/9/15,6 Months 22 Days
E-2020 PDR-W39,Eaton/Powerware,253045-001,EC504RXX10,Evanston,2020 RIDGE AV,172,,PDR,NUIT-CI-SO,7/10/15 9:55,,10/31/15,127363,PUR0794280,4/9/15,6 Months 22 Days
